step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.014,0.0046,-0.003,0.02,0.015,-0.009
L2_tur_penalty,0.185,0.0212,0.0042,0.21,-0.045,0.02
L3_asset_cap,-0.011,-0.0117,0.0048,-0.06,-0.002,0.003
L4_gacha_t,0.125,0.005,0.0144,0.19,0.001,-0.0
L5_mkt_beta,0.038,0.0022,0.0047,0.08,0.0,-0.0
L6_sector_beta,0.276,-0.0279,0.0473,0.68,0.004,0.001
L7_volscale,0.174,-0.0012,0.0059,0.24,-0.003,-0.0
L8_stoploss,0.03,-0.0005,0.0032,0.16,-0.011,0.003
L9_DD_ctrl,-0.12,-0.007,-0.0061,-0.47,-0.004,0.0
L10_restricted,-0.169,-0.0103,-0.0069,-0.44,-0.008,0.003
L11_paircap,0.076,0.0044,0.0017,0.13,0.0,-0.001
L12_voladj,0.091,-0.009,0.0032,-0.08,0.014,0.003
