config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.0668,0.1029,-0.1214,0.8475,0.152,0.4073
L1_min_opt,1.0806,0.1075,-0.1244,0.864,0.1668,0.3986
L2_tur_penalty,1.266,0.1287,-0.1202,1.0703,0.1214,0.4189
L3_asset_cap,1.2553,0.117,-0.1154,1.0144,0.1195,0.4216
L4_gacha_t,1.3805,0.122,-0.101,1.2082,0.1206,0.4214
L5_mkt_beta,1.4185,0.1242,-0.0963,1.2899,0.1208,0.4211
L6_sector_beta,1.6941,0.0963,-0.049,1.9653,0.1252,0.4224
L7_volscale,1.8676,0.0951,-0.0431,2.2049,0.1219,0.4222
L8_stoploss,1.8976,0.0946,-0.0399,2.3681,0.1107,0.425
L9_DD_ctrl,1.778,0.0876,-0.046,1.9028,0.1063,0.4254
L10_restricted,1.6092,0.0773,-0.0529,1.462,0.0982,0.4281
L11_paircap,1.6852,0.0817,-0.0512,1.5936,0.0984,0.4274
L12_voladj,1.7764,0.0727,-0.048,1.5134,0.1127,0.4304
