config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.8128,0.0275,-0.0321,0.8558,0.1789,0.492
L1_min_opt,0.3535,0.0114,-0.0313,0.3654,0.1985,0.4932
L2_tur_penalty,0.7636,0.0251,-0.0281,0.8911,0.1182,0.4924
L3_asset_cap,0.6798,0.022,-0.0273,0.8085,0.107,0.4945
L4_gacha_t,0.6912,0.0224,-0.0273,0.8217,0.107,0.4944
L5_mkt_beta,0.7415,0.0242,-0.0273,0.8862,0.1072,0.4939
L6_sector_beta,0.8365,0.0249,-0.0241,1.0329,0.1095,0.4929
L7_volscale,1.0528,0.0306,-0.0229,1.3342,0.1115,0.4909
L8_stoploss,1.1797,0.0346,-0.0233,1.4849,0.1094,0.4862
L9_DD_ctrl,1.1797,0.0346,-0.0233,1.4849,0.1094,0.4862
L10_restricted,1.1935,0.0346,-0.0264,1.3095,0.1034,0.4878
L11_paircap,1.2237,0.0354,-0.0257,1.3755,0.1025,0.4854
L12_voladj,1.0148,0.0274,-0.0231,1.1889,0.124,0.4854
