step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.417,-0.0138,-0.0064,-0.4,0.016,-0.001
L2_tur_penalty,0.278,0.009,0.0018,0.25,-0.079,-0.0
L3_asset_cap,0.1,0.0035,0.0006,0.11,-0.005,0.001
L4_gacha_t,-0.002,-0.0001,0.0,-0.0,0.0,0.0
L5_mkt_beta,0.053,0.0018,0.0,0.06,0.0,-0.0
L6_sector_beta,0.521,0.0164,0.0055,0.62,0.008,-0.003
L7_volscale,0.276,0.008,0.003,0.41,-0.0,-0.001
L8_stoploss,0.07,0.0022,-0.0006,0.07,-0.003,-0.005
L9_DD_ctrl,0.009,0.0003,0.0003,0.02,0.0,0.0
L10_restricted,-0.092,-0.0035,0.0002,-0.14,-0.003,0.005
L11_paircap,-0.046,-0.0017,-0.0014,-0.12,-0.001,-0.001
L12_voladj,0.089,0.0014,0.0048,0.27,0.02,-0.003
