config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.4403,0.0514,-0.0282,1.8238,0.202,0.4866
L1_min_opt,1.1514,0.0428,-0.0297,1.4394,0.218,0.4846
L2_tur_penalty,1.3025,0.0487,-0.0279,1.7451,0.1242,0.4824
L3_asset_cap,1.4627,0.0542,-0.0264,2.0546,0.1189,0.4833
L4_gacha_t,1.4629,0.0542,-0.0264,2.0556,0.1189,0.4833
L5_mkt_beta,1.5128,0.0559,-0.0266,2.1039,0.1189,0.4833
L6_sector_beta,1.8441,0.0647,-0.0202,3.1942,0.1312,0.4819
L7_volscale,1.8379,0.0623,-0.0198,3.1504,0.1307,0.4819
L8_stoploss,1.927,0.0644,-0.0183,3.52,0.1291,0.4754
L9_DD_ctrl,1.927,0.0644,-0.0183,3.52,0.1291,0.4754
L10_restricted,2.2835,0.0742,-0.0184,4.0259,0.1241,0.4738
L11_paircap,2.2648,0.073,-0.0183,3.9815,0.1242,0.4754
L12_voladj,1.5853,0.0487,-0.0214,2.269,0.1404,0.4729
