step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.289,-0.0086,-0.0015,-0.38,0.016,-0.002
L2_tur_penalty,0.151,0.0059,0.0018,0.31,-0.094,-0.002
L3_asset_cap,0.16,0.0055,0.0015,0.31,-0.005,0.001
L4_gacha_t,0.0,0.0,0.0,0.0,0.0,0.0
L5_mkt_beta,0.05,0.0017,-0.0002,0.05,0.0,0.0
L6_sector_beta,0.331,0.0088,0.0064,1.09,0.012,-0.001
L7_volscale,-0.006,-0.0024,0.0004,-0.04,-0.001,0.0
L8_stoploss,0.089,0.0021,0.0015,0.37,-0.002,-0.007
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.357,0.0098,-0.0001,0.51,-0.005,-0.002
L11_paircap,-0.019,-0.0012,0.0001,-0.04,0.0,0.002
L12_voladj,-0.68,-0.0243,-0.0031,-1.71,0.016,-0.003
