config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,3.2682,0.1581,-0.0234,6.7534,0.1232,0.4224
L1_min_opt,3.2184,0.1541,-0.0212,7.2635,0.1277,0.418
L2_tur_penalty,3.32,0.1635,-0.0207,7.894,0.0931,0.4212
L3_asset_cap,3.3379,0.1649,-0.0191,8.6298,0.0907,0.4218
L4_gacha_t,3.3832,0.1582,-0.0188,8.3948,0.091,0.4238
L5_mkt_beta,3.3929,0.1587,-0.0205,7.7602,0.0912,0.4244
L6_sector_beta,3.5628,0.1581,-0.0184,8.6159,0.0969,0.4257
L7_volscale,3.3874,0.1452,-0.0176,8.2625,0.0998,0.4265
L8_stoploss,3.4874,0.1497,-0.0197,7.5966,0.0942,0.4274
L9_DD_ctrl,3.4874,0.1497,-0.0197,7.5966,0.0942,0.4274
L10_restricted,3.2109,0.1351,-0.0204,6.6078,0.0903,0.43
L11_paircap,3.1998,0.1341,-0.0204,6.5662,0.0896,0.4297
L12_voladj,3.3003,0.1272,-0.0216,5.8753,0.1104,0.4359
