step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.05,-0.004,0.0022,0.51,0.005,-0.004
L2_tur_penalty,0.102,0.0094,0.0005,0.63,-0.035,0.003
L3_asset_cap,0.018,0.0014,0.0016,0.74,-0.002,0.001
L4_gacha_t,0.045,-0.0067,0.0003,-0.23,0.0,0.002
L5_mkt_beta,0.01,0.0005,-0.0017,-0.63,0.0,0.001
L6_sector_beta,0.17,-0.0006,0.0021,0.86,0.006,0.001
L7_volscale,-0.175,-0.0129,0.0008,-0.35,0.003,0.001
L8_stoploss,0.1,0.0045,-0.0021,-0.67,-0.006,0.001
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,-0.276,-0.0146,-0.0007,-0.99,-0.004,0.003
L11_paircap,-0.011,-0.001,0.0,-0.04,-0.001,-0.0
L12_voladj,0.1,-0.0069,-0.0012,-0.69,0.021,0.006
