config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,2.018,0.0635,-0.0208,3.0502,0.0986,0.4893
L1_min_opt,1.8938,0.0585,-0.0217,2.698,0.1091,0.4907
L2_tur_penalty,1.8718,0.0573,-0.0217,2.6425,0.0575,0.487
L3_asset_cap,1.8488,0.0578,-0.0222,2.6035,0.054,0.4845
L4_gacha_t,1.8493,0.0578,-0.0222,2.6047,0.054,0.4845
L5_mkt_beta,1.8171,0.0568,-0.0231,2.4586,0.0541,0.4846
L6_sector_beta,1.7752,0.055,-0.0182,3.0219,0.0551,0.485
L7_volscale,1.952,0.058,-0.0152,3.8077,0.0584,0.4853
L8_stoploss,1.693,0.0509,-0.015,3.3846,0.0656,0.4822
L9_DD_ctrl,1.693,0.0509,-0.015,3.3846,0.0656,0.4822
L10_restricted,1.8394,0.0551,-0.015,3.6691,0.0621,0.4782
L11_paircap,1.9621,0.0593,-0.0124,4.7668,0.0615,0.4759
L12_voladj,1.8674,0.0536,-0.014,3.8179,0.0815,0.4798
