step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.124,-0.005,-0.0009,-0.35,0.011,0.001
L2_tur_penalty,-0.022,-0.0012,0.0,-0.06,-0.052,-0.004
L3_asset_cap,-0.023,0.0005,-0.0005,-0.04,-0.004,-0.003
L4_gacha_t,0.0,0.0,0.0,0.0,0.0,0.0
L5_mkt_beta,-0.032,-0.001,-0.0009,-0.15,0.0,0.0
L6_sector_beta,-0.042,-0.0018,0.0049,0.56,0.001,0.0
L7_volscale,0.177,0.003,0.003,0.79,0.003,0.0
L8_stoploss,-0.259,-0.0071,0.0002,-0.42,0.007,-0.003
L9_DD_ctrl,0.0,0.0,0.0,0.0,0.0,0.0
L10_restricted,0.146,0.0042,0.0,0.28,-0.004,-0.004
L11_paircap,0.123,0.0042,0.0026,1.1,-0.001,-0.002
L12_voladj,-0.095,-0.0057,-0.0016,-0.95,0.02,0.004
