step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,0.119,0.0028,-0.0005,0.07,0.011,-0.0
L2_tur_penalty,0.013,0.0009,-0.0034,-0.03,-0.049,-0.0
L3_asset_cap,-0.101,-0.0028,-0.0022,-0.09,-0.004,-0.002
L4_gacha_t,0.0,0.0,0.0,0.0,0.0,0.0
L5_mkt_beta,0.064,0.0022,0.0041,0.1,0.0,-0.0
L6_sector_beta,0.683,0.0205,0.0134,1.03,0.004,-0.001
L7_volscale,0.275,0.0068,-0.0001,0.24,0.004,-0.0
L8_stoploss,0.335,0.0111,0.0025,0.63,0.005,-0.009
L9_DD_ctrl,-0.003,-0.0001,-0.0002,-0.03,0.0,0.0
L10_restricted,0.042,0.0016,0.0001,0.08,-0.003,-0.003
L11_paircap,-0.083,-0.0035,0.0007,-0.06,-0.001,0.002
L12_voladj,-0.293,-0.0128,-0.0038,-0.79,0.02,0.001
