config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,0.5061,0.0203,-0.0388,0.5223,0.0874,0.4909
L1_min_opt,0.6255,0.0231,-0.0393,0.5873,0.0985,0.4908
L2_tur_penalty,0.6389,0.024,-0.0427,0.5614,0.0494,0.4906
L3_asset_cap,0.5382,0.0212,-0.0449,0.4721,0.0457,0.4885
L4_gacha_t,0.5386,0.0212,-0.0449,0.4723,0.0457,0.4885
L5_mkt_beta,0.6023,0.0234,-0.0408,0.5735,0.0459,0.4881
L6_sector_beta,1.2853,0.0439,-0.0274,1.6032,0.0496,0.4874
L7_volscale,1.5606,0.0507,-0.0275,1.8422,0.0537,0.4872
L8_stoploss,1.8955,0.0618,-0.025,2.4698,0.0586,0.4781
L9_DD_ctrl,1.8925,0.0617,-0.0252,2.4442,0.0586,0.4782
L10_restricted,1.9343,0.0633,-0.0251,2.5195,0.0558,0.475
L11_paircap,1.8513,0.0598,-0.0244,2.4552,0.0549,0.477
L12_voladj,1.5582,0.047,-0.0282,1.6652,0.0746,0.4784
