step,ΔSh,ΔNP,ΔDD,ΔCalmar,Δturnover,Δcontra
L1_min_opt,-0.024,0.0019,-0.0035,-0.13,0.022,-0.011
L2_tur_penalty,0.232,0.0084,0.0003,0.26,-0.077,0.007
L3_asset_cap,0.209,0.0057,0.0058,0.6,-0.012,0.009
L4_gacha_t,0.094,0.0031,0.0014,0.25,-0.0,0.001
L5_mkt_beta,0.263,0.0096,-0.0017,0.16,-0.0,0.001
L6_sector_beta,0.2,0.0027,0.0014,0.24,0.004,0.003
L7_volscale,-0.026,-0.0045,0.0006,-0.09,-0.003,-0.001
L8_stoploss,-0.075,-0.0034,0.0013,0.03,0.0,-0.005
L9_DD_ctrl,0.011,0.0003,-0.0001,0.0,0.0,0.0
L10_restricted,0.124,0.0016,0.0025,0.41,-0.007,0.002
L11_paircap,-0.012,-0.001,0.0004,0.01,-0.001,0.001
L12_voladj,0.262,-0.0013,0.0051,0.96,0.018,-0.001
