config,Sh,NP,DD,Calmar,turnover,contra_share
L0_raw,1.5057,0.0638,-0.0314,2.0339,0.1571,0.4334
L1_min_opt,1.5033,0.0672,-0.0349,1.9286,0.1787,0.4224
L2_tur_penalty,1.7213,0.0746,-0.0346,2.1543,0.1022,0.4292
L3_asset_cap,1.9213,0.0794,-0.0288,2.7535,0.09,0.4385
L4_gacha_t,2.0194,0.0825,-0.0274,3.0143,0.0897,0.4391
L5_mkt_beta,2.2841,0.0922,-0.0291,3.1718,0.0897,0.4399
L6_sector_beta,2.5007,0.0959,-0.0277,3.456,0.0929,0.4412
L7_volscale,2.4759,0.0914,-0.0272,3.3671,0.0903,0.4408
L8_stoploss,2.4163,0.0886,-0.0258,3.4303,0.0905,0.4356
L9_DD_ctrl,2.429,0.0889,-0.0259,3.4354,0.0907,0.4357
L10_restricted,2.5218,0.0893,-0.0234,3.8166,0.0845,0.4384
L11_paircap,2.5015,0.0879,-0.023,3.8184,0.0834,0.439
L12_voladj,2.7646,0.0865,-0.018,4.7946,0.1017,0.4385
